week,home_team,away_team,home_win_prob,away_win_prob
1,ATL,TB,0.4056,0.5944
1,BUF,BAL,0.6575,0.3425
1,CHI,MIN,0.5601,0.4399
1,CLE,CIN,0.3628,0.6372
1,DEN,TEN,0.7225,0.2775
1,GB,DET,0.5722,0.4278
1,IND,MIA,0.6529,0.3471
1,JAX,CAR,0.4698,0.5302
1,LAC,KC,0.4243,0.5757
1,LAR,HOU,0.4929,0.5071
1,NE,LV,0.6956,0.3044
1,NO,ARI,0.4005,0.5995
1,NYJ,PIT,0.2961,0.7039
1,PHI,DAL,0.6435,0.3565
1,SEA,SF,0.5196,0.4804
1,WSH,NYG,0.5757,0.4243
2,ARI,CAR,0.4854,0.5146
2,BAL,CLE,0.682,0.318
2,CIN,JAX,0.3428,0.6572
2,DAL,NYG,0.4927,0.5073
2,DET,CHI,0.5778,0.4222
2,GB,WSH,0.6328,0.3672
2,HOU,TB,0.4508,0.5492
2,IND,DEN,0.576,0.424
2,KC,PHI,0.654,0.346
2,LV,LAC,0.346,0.654
2,MIA,NE,0.3891,0.6109
2,MIN,ATL,0.531,0.469
2,NO,SF,0.2903,0.7097
2,NYJ,BUF,0.2459,0.7541
2,PIT,SEA,0.5474,0.4526
2,TEN,LAR,0.2946,0.7054
3,BAL,DET,0.4273,0.5727
3,BUF,MIA,0.7112,0.2888
3,CAR,ATL,0.5635,0.4365
3,CHI,DAL,0.6166,0.3834
3,CLE,GB,0.2703,0.7297
3,JAX,HOU,0.4494,0.5506
3,LAC,DEN,0.5635,0.4365
3,MIN,CIN,0.7379,0.2621
3,NE,PIT,0.5782,0.4218
3,NYG,KC,0.35,0.65
3,PHI,LAR,0.6052,0.3948
3,SEA,NO,0.7537,0.2463
3,SF,ARI,0.6245,0.3755
3,TB,NYJ,0.824,0.176
3,TEN,IND,0.2773,0.7227
3,WSH,LV,0.6632,0.3368
4,ARI,SEA,0.4624,0.5376
4,ATL,WSH,0.5155,0.4845
4,BUF,NO,0.7928,0.2072
4,DAL,GB,0.3819,0.6181
4,DEN,CIN,0.7528,0.2472
4,DET,CLE,0.7724,0.2276
4,HOU,TEN,0.7474,0.2526
4,KC,BAL,0.882,0.118
4,LAR,IND,0.4845,0.5155
4,LV,CHI,0.3475,0.6525
4,MIA,NYJ,0.6333,0.3667
4,NE,CAR,0.6026,0.3974
4,NYG,LAC,0.4075,0.5925
4,PIT,MIN,0.5558,0.4442
4,SF,JAX,0.598,0.402
4,TB,PHI,0.5804,0.4196
5,ARI,TEN,0.687,0.313
5,BAL,HOU,0.2471,0.7529
5,BUF,NE,0.5845,0.4155
5,CAR,MIA,0.5495,0.4505
5,CIN,DET,0.2359,0.7641
5,CLE,MIN,0.3379,0.6621
5,IND,LV,0.7091,0.2909
5,JAX,KC,0.3122,0.6878
5,LAC,WSH,0.5613,0.4387
5,LAR,SF,0.5109,0.4891
5,NO,NYG,0.4222,0.5778
5,NYJ,DAL,0.403,0.597
5,PHI,DEN,0.6425,0.3575
5,SEA,TB,0.4663,0.5337
6,ATL,BUF,0.4928,0.5072
6,BAL,LAR,0.2216,0.7784
6,CAR,DAL,0.4908,0.5092
6,GB,CIN,0.8665,0.1335
6,IND,ARI,0.6603,0.3397
6,JAX,SEA,0.4592,0.5408
6,KC,DET,0.6774,0.3226
6,LV,TEN,0.6026,0.3974
6,MIA,LAC,0.3704,0.6296
6,NO,NE,0.2753,0.7247
6,NYG,PHI,0.3581,0.6419
6,NYJ,DEN,0.2753,0.7247
6,PIT,CLE,0.7805,0.2195
6,TB,SF,0.64,0.36
6,WSH,CHI,0.4663,0.5337
7,ARI,GB,0.3638,0.6362
7,CHI,NO,0.7536,0.2464
7,CIN,PIT,0.2689,0.7311
7,CLE,MIA,0.4811,0.5189
7,DAL,WSH,0.5084,0.4916
7,DEN,NYG,0.6342,0.3658
7,DET,TB,0.4769,0.5231
7,JAX,LAR,0.4696,0.5304
7,KC,LV,0.8419,0.1581
7,LAC,IND,0.5189,0.4811
7,MIN,PHI,0.4926,0.5074
7,NYJ,CAR,0.3399,0.6601
7,SEA,HOU,0.5032,0.4968
7,SF,ATL,0.572,0.428
7,TEN,NE,0.2418,0.7582
8,ATL,MIA,0.5873,0.4127
8,BAL,CHI,0.5262,0.4738
8,CAR,BUF,0.3542,0.6458
8,CIN,NYJ,0.5482,0.4518
8,DEN,DAL,0.5565,0.4435
8,HOU,SF,0.5199,0.4801
8,IND,TEN,0.7987,0.2013
8,KC,WSH,0.7409,0.2591
8,LAC,MIN,0.5833,0.4167
8,NE,CLE,0.7877,0.2123
8,NO,TB,0.2166,0.7834
8,PHI,NYG,0.7368,0.2632
8,PIT,GB,0.456,0.544
9,BUF,KC,0.4937,0.5063
9,CIN,CHI,0.2608,0.7392
9,DAL,ARI,0.544,0.456
9,DET,MIN,0.6723,0.3277
9,GB,CAR,0.6695,0.3305
9,HOU,DEN,0.544,0.456
9,LAR,NO,0.7755,0.2245
9,LV,JAX,0.4005,0.5995
9,MIA,BAL,0.4394,0.5606
9,NE,ATL,0.6115,0.3885
9,NYG,SF,0.4106,0.5894
9,PIT,IND,0.4958,0.5042
9,TEN,LAC,0.264,0.736
9,WSH,SEA,0.4947,0.5053
10,CAR,NO,0.6333,0.3667
10,CHI,NYG,0.6554,0.3446
10,DEN,LV,0.6769,0.3231
10,GB,PHI,0.5262,0.4738
10,HOU,JAX,0.5914,0.4086
10,IND,ATL,0.5995,0.4005
10,LAC,PIT,0.5586,0.4414
10,MIA,BUF,0.3231,0.6769
10,MIN,BAL,0.5627,0.4373
10,NYJ,CLE,0.5126,0.4874
10,SEA,ARI,0.676,0.324
10,SF,LAR,0.5241,0.4759
10,TB,NE,0.6554,0.3446
10,WSH,DET,0.4643,0.5357
11,ARI,SF,0.4291,0.5709
11,ATL,CAR,0.4643,0.5357
11,BUF,TB,0.5189,0.4811
11,CLE,BAL,0.3532,0.6468
11,DEN,KC,0.3277,0.6723
11,JAX,LAC,0.4167,0.5833
11,LAR,SEA,0.5419,0.4581
11,LV,DAL,0.3915,0.6085
11,MIA,WSH,0.3945,0.6055
11,MIN,CHI,0.5,0.5
11,NE,NYJ,0.8244,0.1756
11,NYG,GB,0.3465,0.6535
11,PHI,DET,0.5771,0.4229
11,PIT,CIN,0.7449,0.2551
11,TEN,HOU,0.3314,0.6686
12,ARI,JAX,0.5011,0.4989
12,BAL,NYJ,0.7551,0.2449
12,CHI,PIT,0.5461,0.4539
12,CIN,NE,0.2297,0.7703
12,DAL,PHI,0.4311,0.5689
12,DET,NYG,0.7029,0.2971
12,GB,MIN,0.6695,0.3305
12,HOU,BUF,0.4958,0.5042
12,KC,IND,0.6573,0.3427
12,LAR,TB,0.4005,0.5995
12,LV,CLE,0.5771,0.4229
12,NO,ATL,0.4529,0.5471
12,SF,CAR,0.572,0.428
12,TEN,SEA,0.2979,0.7021
13,BAL,CIN,0.7457,0.2543
13,CAR,LAR,0.4518,0.5482
13,CLE,SF,0.2971,0.7029
13,DAL,KC,0.357,0.643
13,DET,GB,0.521,0.479
13,IND,HOU,0.544,0.456
13,LAC,LV,0.7496,0.2504
13,MIA,NO,0.6342,0.3658
13,NE,NYG,0.6923,0.3077
13,NYJ,ATL,0.3399,0.6601
13,PHI,CHI,0.6293,0.3707
13,PIT,BUF,0.4643,0.5357
13,SEA,MIN,0.6115,0.3885
13,TB,ARI,0.7352,0.2648
13,TEN,JAX,0.3342,0.6658
13,WSH,DEN,0.5419,0.4581
14,ARI,LAR,0.4178,0.5822
14,ATL,SEA,0.5294,0.4706
14,BAL,PIT,0.4832,0.5168
14,BUF,CIN,0.8474,0.1526
14,CLE,TEN,0.5294,0.4706
14,DET,DAL,0.6313,0.3687
14,GB,CHI,0.6372,0.3628
14,JAX,IND,0.4005,0.5995
14,KC,HOU,0.7108,0.2892
14,LAC,PHI,0.4874,0.5126
14,LV,DEN,0.3551,0.6449
14,MIN,WSH,0.5168,0.4832
14,NYJ,MIA,0.4229,0.5771
14,TB,NO,0.828,0.172
15,CHI,CLE,0.7582,0.2418
15,CIN,BAL,0.3122,0.6878
15,DAL,MIN,0.5273,0.4727
15,DEN,GB,0.4435,0.5565
15,HOU,ARI,0.6244,0.3756
15,JAX,NYJ,0.721,0.279
15,KC,LAC,0.7176,0.2824
15,LAR,DET,0.4581,0.5419
15,NE,BUF,0.5699,0.4301
15,NO,CAR,0.3503,0.6497
15,NYG,WSH,0.4811,0.5189
15,PHI,LV,0.7718,0.2282
15,PIT,MIA,0.6769,0.3231
15,SEA,IND,0.5482,0.4518
15,SF,TEN,0.8144,0.1856
15,TB,ATL,0.6769,0.3231
16,ARI,ATL,0.4654,0.5346
16,BAL,NE,0.4311,0.5689
16,CAR,TB,0.3551,0.6449
16,CHI,GB,0.4664,0.5336
16,CLE,BUF,0.2496,0.7504
16,DAL,LAC,0.479,0.521
16,DEN,JAX,0.5833,0.4167
16,DET,PIT,0.5995,0.4005
16,HOU,LV,0.6842,0.3158
16,IND,SF,0.5637,0.4363
16,MIA,CIN,0.6333,0.3667
16,NO,NYJ,0.5995,0.4005
16,NYG,MIN,0.4466,0.5534
16,SEA,LAR,0.5648,0.4352
16,TEN,KC,0.1781,0.8219
16,WSH,PHI,0.4581,0.5419
17,ATL,LAR,0.4874,0.5126
17,BUF,PHI,0.5709,0.4291
17,CAR,SEA,0.4937,0.5063
17,CIN,ARI,0.3503,0.6497
17,CLE,PIT,0.3068,0.6932
