week,home_team,away_team,home_win_prob,away_win_prob,home_score,away_score,home_preadjustment,away_preadjustment
1,ATL,TB,0.4849,0.5151,7.38,7.65,5.38,7.65
1,BUF,BAL,0.6328,0.3672,9.44,7.03,8.44,7.03
1,CHI,MIN,0.5269,0.4731,6.88,6.41,6.38,5.91
1,CLE,CIN,0.4219,0.5781,4.68,6.06,3.18,6.06
1,DEN,TEN,0.7931,0.2069,9.15,2.62,7.65,3.12
1,GB,DET,0.5419,0.4581,9.15,8.41,8.15,7.91
1,IND,MIA,0.6916,0.3084,8.74,5.09,7.24,4.59
1,JAX,CAR,0.4815,0.5185,5.85,6.18,5.85,5.18
1,LAC,KC,0.4748,0.5252,8.62,9.06,7.12,8.06
1,LAR,HOU,0.5252,0.4748,7.38,6.94,7.38,6.44
1,NE,LV,0.7559,0.2441,8.68,3.38,7.18,4.38
1,NO,ARI,0.3346,0.6654,2.37,5.44,3.12,5.44
1,NYJ,PIT,0.3142,0.6858,2.87,6.38,3.12,6.38
1,PHI,DAL,0.6476,0.3524,9.59,6.88,8.59,5.38
1,SEA,SF,0.5151,0.4849,8.35,8.09,6.85,7.59
1,WSH,NYG,0.7031,0.2969,6.56,2.65,6.06,3.65
2,ARI,CAR,0.4862,0.5138,5.94,6.18,5.44,5.18
2,BAL,CLE,0.6834,0.3166,7.53,4.18,7.03,3.18
2,CIN,JAX,0.3967,0.6033,4.06,5.85,6.06,5.85
2,DAL,NYG,0.6532,0.3468,5.88,3.15,5.38,3.65
2,DET,CHI,0.5886,0.4114,8.41,6.88,7.91,6.38
2,GB,WSH,0.6707,0.3293,9.15,6.06,8.15,6.06
2,HOU,TB,0.4879,0.5121,7.44,7.65,6.44,7.65
2,IND,DEN,0.5052,0.4948,8.74,8.65,7.24,7.65
2,KC,PHI,0.613,0.387,10.56,8.59,8.06,8.59
2,LV,LAC,0.299,0.701,3.88,7.62,4.38,7.12
2,MIA,NE,0.3807,0.6193,6.09,8.18,4.59,7.18
2,MIN,ATL,0.5017,0.4983,6.41,6.38,5.91,5.38
2,NO,SF,0.2395,0.7605,2.37,7.59,3.12,7.59
2,NYJ,BUF,0.2447,0.7553,3.37,8.44,3.12,8.44
2,PIT,SEA,0.5017,0.4983,6.88,6.85,6.38,6.85
2,TEN,LAR,0.2762,0.7238,3.12,7.38,3.12,7.38
3,BAL,DET,0.4769,0.5231,7.53,7.91,7.03,7.91
3,BUF,MIA,0.712,0.288,9.44,5.59,8.44,4.59
3,CAR,ATL,0.5178,0.4822,6.18,5.88,5.18,5.38
3,CHI,DAL,0.5302,0.4698,6.88,6.38,6.38,5.38
3,CLE,GB,0.2827,0.7173,4.18,8.15,3.18,8.15
3,JAX,HOU,0.4947,0.5053,6.35,6.44,5.85,6.44
3,LAC,DEN,0.4982,0.5018,8.62,8.65,7.12,7.65
3,MIN,CIN,0.6636,0.3364,6.41,3.56,5.91,6.06
3,NE,PIT,0.634,0.366,8.68,6.38,7.18,6.38
3,NYG,KC,0.2086,0.7914,3.15,9.06,3.65,8.06
3,PHI,LAR,0.6292,0.3708,9.59,7.38,8.59,7.38
3,SEA,NO,0.8086,0.1914,8.35,1.87,6.85,3.12
3,SF,ARI,0.612,0.388,7.59,5.69,7.59,5.44
3,TB,NYJ,0.7871,0.2129,8.15,2.37,7.65,3.12
3,TEN,IND,0.2552,0.7448,3.62,8.24,3.12,7.24
3,WSH,LV,0.6799,0.3201,6.56,3.38,6.06,4.38
4,ARI,SEA,0.459,0.541,6.19,6.85,5.44,6.85
4,ATL,WSH,0.551,0.449,6.88,6.06,5.38,6.06
4,BUF,NO,0.8456,0.1544,9.44,1.87,8.44,3.12
4,DAL,GB,0.4222,0.5778,6.88,8.15,5.38,8.15
4,DEN,CIN,0.7886,0.2114,9.15,3.56,7.65,6.06
4,DET,CLE,0.7565,0.2435,8.41,3.68,7.91,3.18
4,HOU,TEN,0.7166,0.2834,6.94,3.12,6.44,3.12
4,KC,BAL,0.7026,0.2974,10.56,7.03,8.06,7.03
4,LAR,IND,0.4472,0.5528,7.38,8.24,7.38,7.24
4,LV,CHI,0.3241,0.6759,3.38,6.38,4.38,6.38
4,MIA,NYJ,0.6049,0.3951,4.59,2.87,4.59,3.12
4,NE,CAR,0.6492,0.3508,8.68,6.18,7.18,5.18
4,NYG,LAC,0.2246,0.7754,2.4,7.62,3.65,7.12
4,PIT,MIN,0.56,0.44,6.88,5.91,6.38,5.91
4,SF,JAX,0.6057,0.3943,7.59,5.85,7.59,5.85
4,TB,PHI,0.4726,0.5274,8.15,8.59,7.65,8.59
5,ARI,TEN,0.6848,0.3152,5.69,2.62,5.44,3.12
5,BAL,HOU,0.5375,0.4625,7.53,6.94,7.03,6.44
5,BUF,NE,0.5487,0.4513,9.44,8.68,8.44,7.18
5,CAR,MIA,0.5375,0.4625,5.18,4.59,5.18,4.59
5,CIN,DET,0.2759,0.7241,4.06,7.91,6.06,7.91
5,CLE,MIN,0.3913,0.6087,4.18,5.91,3.18,5.91
5,IND,LV,0.7881,0.2119,8.74,3.38,7.24,4.38
5,JAX,KC,0.3083,0.6917,5.85,9.06,5.85,8.06
5,LAC,WSH,0.628,0.372,8.12,6.06,7.12,6.06
5,LAR,SF,0.4868,0.5132,7.38,7.59,7.38,7.59
5,NO,NYG,0.5617,0.4383,2.87,1.9,3.12,3.65
5,NYJ,DAL,0.3458,0.6542,2.87,5.38,3.12,5.38
5,PHI,DEN,0.5598,0.4402,9.59,8.65,8.59,7.65
5,SEA,TB,0.545,0.455,8.35,7.65,6.85,7.65
6,ATL,BUF,0.4471,0.5529,7.63,8.44,5.38,8.44
6,BAL,LAR,0.5097,0.4903,7.53,7.38,7.03,7.38
6,CAR,DAL,0.552,0.448,6.18,5.38,5.18,5.38
6,GB,CIN,0.8308,0.1692,9.9,3.56,8.15,6.06
6,IND,ARI,0.7149,0.2851,8.74,5.19,7.24,5.44
6,JAX,SEA,0.4347,0.5653,5.85,6.85,5.85,6.85
6,KC,DET,0.6661,0.3339,10.56,7.91,8.06,7.91
6,LV,TEN,0.5822,0.4178,3.88,2.62,4.38,3.12
6,MIA,LAC,0.3406,0.6594,5.09,7.62,4.59,7.12
6,NO,NE,0.187,0.813,2.37,8.18,3.12,7.18
6,NYG,PHI,0.1912,0.8088,2.9,8.59,3.65,8.59
6,NYJ,DEN,0.188,0.812,2.87,8.65,3.12,7.65
6,PIT,CLE,0.7103,0.2897,7.63,4.18,6.38,3.18
